[t=0] Log started.
[t=5] BUZZ: 11-2.56779
[t=5] BUZZ: 19-3.13392
[t=5] BUZZ: 18-3.49107
[t=5] BUZZ: 16-3.20275
[t=5] BUZZ: 23-3.64456
[t=5] BUZZ: 24-3.09728
[t=5] BUZZ: 26-3.36322
[t=5] BUZZ: 27-1.99871
[t=5] BUZZ: 28-1.5167
[t=5] BUZZ: 21-1.6661
[t=5] BUZZ: 25-1.85865
[t=5] BUZZ: 32-3.66205
[t=5] BUZZ: 33-2.94779
[t=5] BUZZ: 34-2.71334
[t=5] BUZZ: 30-5.4113
[t=5] BUZZ: 29-2.3865
[t=5] BUZZ: 35-2.58328
[t=5] BUZZ: 36-2.78463
[t=5] BUZZ: 37-3.85753
[t=5] BUZZ: 38-2.56124
[t=5] BUZZ: 39-2.4985
[t=5] BUZZ: 0-2.92626
[t=5] BUZZ: 1-2.88517
[t=5] BUZZ: 2-2.6853
[t=5] BUZZ: 3-1.83501
[t=5] BUZZ: 5-1.15888
[t=5] BUZZ: 7-2.00931
[t=5] BUZZ: 10-3.02936
[t=5] BUZZ: 9-2.67394
[t=5] BUZZ: 8-0.715934
[t=5] BUZZ: 22-1.3609
[t=5] BUZZ: 31-3.78109
[t=5] BUZZ: 12-0.529393
[t=6] BUZZ: 17-4.09912
[t=6] BUZZ: 4-4.23635
[t=6] BUZZ: 32-3.66205
[t=6] BUZZ: 18-3.48662
[t=6] BUZZ: 23-3.64456
[t=6] BUZZ: 24-3.09728
[t=6] BUZZ: 26-3.36322
[t=6] BUZZ: 27-1.99871
[t=6] BUZZ: 28-1.5167
[t=6] BUZZ: 20-3.71482
[t=6] BUZZ: 21-1.6661
[t=6] BUZZ: 25-1.85865
[t=6] BUZZ: 33-2.94779
[t=6] BUZZ: 31-3.78109
[t=6] BUZZ: 34-2.71334
[t=6] BUZZ: 30-5.4113
[t=6] BUZZ: 29-2.3865
[t=6] BUZZ: 35-2.58328
[t=6] BUZZ: 36-2.78463
[t=6] BUZZ: 37-3.85423
[t=6] BUZZ: 38-2.56124
[t=6] BUZZ: 39-2.4985
[t=6] BUZZ: 0-2.92626
[t=6] BUZZ: 1-2.88517
[t=6] BUZZ: 2-2.6853
[t=6] BUZZ: 3-1.83021
[t=6] BUZZ: 5-1.15888
[t=6] BUZZ: 7-2.00931
[t=6] BUZZ: 6-3.78513
[t=6] BUZZ: 10-3.02936
[t=6] BUZZ: 13-4.10956
[t=6] BUZZ: 14-3.48593
[t=6] BUZZ: 15-3.44363
[t=6] BUZZ: 11-2.56779
[t=6] BUZZ: 9-2.67394
[t=6] BUZZ: 8-0.715934
[t=6] BUZZ: 12-0.529393
[t=6] BUZZ: 19-3.13392
[t=6] BUZZ: 16-3.20275
[t=6] BUZZ: 22-1.3609
[t=7] BUZZ: 17-4.09912
[t=7] BUZZ: 30-5.4113
[t=7] BUZZ: 2-2.6853
[t=7] BUZZ: 13-4.10956
[t=7] BUZZ: 34-2.71334
[t=7] BUZZ: 36-2.78463
[t=7] BUZZ: 37-3.85093
[t=7] BUZZ: 38-2.56124
[t=7] BUZZ: 39-2.4985
[t=7] BUZZ: 1-2.88517
[t=7] BUZZ: 3-1.82542
[t=7] BUZZ: 4-4.23635
[t=7] BUZZ: 6-3.78513
[t=7] BUZZ: 10-3.02936
[t=7] BUZZ: 14-3.48593
[t=7] BUZZ: 11-2.56779
[t=7] BUZZ: 9-2.67394
[t=7] BUZZ: 19-3.13392
[t=7] BUZZ: 18-3.48613
[t=7] BUZZ: 16-3.20275
[t=7] BUZZ: 23-3.64456
[t=7] BUZZ: 24-3.09728
[t=7] BUZZ: 26-3.35984
[t=7] BUZZ: 27-1.99871
[t=7] BUZZ: 28-1.5167
[t=7] BUZZ: 20-3.71467
[t=7] BUZZ: 32-3.66205
[t=7] BUZZ: 33-2.94779
[t=7] BUZZ: 31-3.78109
[t=7] BUZZ: 29-2.3865
[t=7] BUZZ: 0-2.92626
[t=7] BUZZ: 5-1.15888
[t=7] BUZZ: 7-2.00931
[t=7] BUZZ: 15-3.44351
[t=7] BUZZ: 12-0.529393
[t=7] BUZZ: 25-1.85865
[t=7] BUZZ: 35-2.58328
[t=7] BUZZ: 21-1.6661
[t=7] BUZZ: 22-1.3609
[t=7] BUZZ: 8-0.715934
[t=8] BUZZ: 4-4.23635
[t=8] BUZZ: 30-5.4113
[t=8] BUZZ: 6-3.78513
[t=8] BUZZ: 20-3.71453
[t=8] BUZZ: 33-2.94779
[t=8] BUZZ: 37-3.84764
[t=8] BUZZ: 38-2.56124
[t=8] BUZZ: 39-2.4985
[t=8] BUZZ: 0-2.92626
[t=8] BUZZ: 1-2.88517
[t=8] BUZZ: 2-2.6853
[t=8] BUZZ: 3-1.82063
[t=8] BUZZ: 5-1.15888
[t=8] BUZZ: 7-2.00931
[t=8] BUZZ: 10-3.02936
[t=8] BUZZ: 13-4.10956
[t=8] BUZZ: 14-3.48593
[t=8] BUZZ: 15-3.44351
[t=8] BUZZ: 11-2.56779
[t=8] BUZZ: 9-2.67394
[t=8] BUZZ: 12-0.529393
[t=8] BUZZ: 19-3.13392
[t=8] BUZZ: 17-4.09912
[t=8] BUZZ: 18-3.48166
[t=8] BUZZ: 16-3.20275
[t=8] BUZZ: 23-3.64456
[t=8] BUZZ: 24-3.09728
[t=8] BUZZ: 22-1.3609
[t=8] BUZZ: 26-3.35609
[t=8] BUZZ: 27-1.99871
[t=8] BUZZ: 28-1.5167
[t=8] BUZZ: 25-1.85865
[t=8] BUZZ: 32-3.66205
[t=8] BUZZ: 31-3.78109
[t=8] BUZZ: 34-2.71334
[t=8] BUZZ: 35-2.58328
[t=8] BUZZ: 36-2.78463
[t=8] BUZZ: 21-1.6661
[t=8] BUZZ: 29-2.3865
[t=8] BUZZ: 8-0.715934
[t=9] BUZZ: 10-3.02936
[t=9] BUZZ: 13-4.10956
[t=9] BUZZ: 16-3.20275
[t=9] BUZZ: 20-3.7144
[t=9] BUZZ: 36-2.78463
[t=9] BUZZ: 4-4.23635
[t=9] BUZZ: 6-3.78513
[t=9] BUZZ: 37-3.84435
[t=9] BUZZ: 15-3.44221
